name,price,status,shipping,free_returns,items_sold
Lego Star Wars Helmets Marvel Venom Carnage Nano Gauntlet Display Shelves,599,Brand New,490,False,
LEGO Speed Champions Lamborghini 30342 Brand New Factory Sealed Polybag Holiday,999,Brand New,0,True,
LEGO City Farmers Market Van 60345 Building Kit Playset 310 Pieces - Free Ship,3500,Brand New,0,False,
LEGO CREATOR: London Bus (40220) Brand New in Sealed Box Retired,1750,Brand New,0,False,
"LEGO Technic McLaren Senna GTR Complete Kit, 830pcs",4499,Brand New,0,False,
"LEGO Creator Santa Claus (30573) 67 Pieces Christmas Holiday [Sealed, Brand New]",1199,Brand New,0,True,
Ninjago: The Hands of Time - Stealthy Swamp Airboat Polybag (30426) [NEW SEALED],999,Brand New,0,True,
Sealed LEGO Star Wars STAP Polybag 30058 Rare & Retired!,1599,Brand New,445,False,
LEGO Jurassic World: Baryonyx Dinosaur Boat Escape (76942),4500,Brand New,1499,False,
LEGO Super Mario Boomer Bill Barrage (71366) New Sealed,2099,Brand New,0,False,
LEGO LEGO Overwatch: Bastion (75974) Brand New in Sealed Box Retired,8999,Brand New,0,False,
LEGO 40499 Santa Sleigh,5889,Brand New,0,False,
NEW LEGO Star Wars OBI-Wan Kenobi vs. Darth Vader 75334 Build 408 Pieces.,3500,Brand New,0,False,
US SHIPLEGO Succulents Plant Decor Building Kit for Adults; 10309 (771 Pieces),3900,Brand New,0,False,
NEW ~ LEGO 71034 - Series 23 Collectible Minifigures Minifig You Pick! Authentic,425,Brand New,399,False,
Shop on eBay,2000,Brand New,,False,
"LEGO 10294, TITANIC  NEW  Sealed Box! 9090 pcs. In Hand Ready to Ship!",89991,Brand New,13900,True,
LEGO Custom Printed CLONE ARMS -Choose Style!- made with real LEGO® Arms,225,Brand New,455,False,
LEGO Thanksgiving Turkey polybag 40011 sealed polybag 2,1499,Brand New,440,False,
LEGO Space Satellite Polybags (30365) BRAND NEW FACTORY SEALED 29 Pieces,999,Brand New,0,True,
LEGO LEGO Overwatch: Bastion (75974) Brand New in Sealed Box Retired,8999,Brand New,0,False,
LEGO 40499 Santa Sleigh,5889,Brand New,0,False,
NEW LEGO Star Wars OBI-Wan Kenobi vs. Darth Vader 75334 Build 408 Pieces.,3500,Brand New,0,False,
LEGO Harry Potter & Hedwig Owl Delivery Polybag (30420) Brand New Factory Sealed,899,Brand New,0,True,
Lego Classic 90 Years of Cars Polybag 30510,1299,Brand New,0,True,
LEGO 40512 Fun & Funky VIP Add On Pack *NEW* - *** LOT OF 2*** -TRUSTED SELLER!!,1995,Brand New,275,False,
New ListingLEGO NINJAGO Spinjitzu Slam Jay 70682 Building Kit (72 Pieces),899,Brand New,0,False,
New ListingLEGO Star Wars Mandalorian Starfighter 75316 Building Kit  SEE DETAILS,4599,Brand New,0,False,
New ListingLEGO Star Wars: Tatooine Homestead (40451) Brand New Factory Sealed,2499,Brand New,0,False,
LEGO Star Wars Boba Fett Helmet Cool Collectible Star Wars Character BuildingSet,4300,Brand New,0,False,
Lego Technic Monster Jam Grave Digger 42118 Truck Set Building Kit 🎁212 PCs,2299,Brand New,0,False,
LEGO Ideas 123 Sesame Street 21324 Creative Building Toy,10999,Brand New,0,False,35
New ListingLego 40513 VIP Halloween Polybag - NEW - FREE SHIPPING,1100,Brand New,0,False,
Brand New LEGO 21313 Ideas Ship in a Bottle,9999,Brand New,0,False,75
LEGO Ideas Medieval Blacksmith 21325,12999,New (Other),0,False,
Lego Christmas Holiday Tree 30576 New Factory Sealed Polybag,995,Brand New,500,False,
LEGO - Bar 4L Wand Rod - PICK YOUR COLORS Lightsaber Blade Flag Pole Weapon Lot,229,Brand New,0,True,
LEGO (30394) Minecraft The Skeleton Defense New Sealed Retired Polybag Set,997,Brand New,0,True,
LEGO Overwatch 75970 NEW IN BOX!,2399,Brand New,0,False,
LEGO Christmas Ornament MOC with Instructions | 100% Genuine New LEGO,999,Brand New,499,True,
LEGO LEGO Overwatch: Wrecking Ball (75976) New in Sealed Box Retired,5499,Brand New,0,False,
LEGO Bricks Used Pieces from Bulk Lot! Choose Color & Qty: 500+ = FREE MINIFIG!,825,Pre-Owned,0,False,
LEGO 40512 Fun and Funky VIP Add On Pack brand new in sealed bag,1289,Brand New,0,False,
Lego Winter Snowball Fight 40424 Retired 2020 Christmas New Factory Sealed Box !,2495,Brand New,500,False,
Lego 10308 Holiday Main Street Christmas NEW FACTORY SEALED📦-TRUSTED  SELLER !!,12995,Brand New,0,False,
Lego Bionicle TOA TAHU 8534- Complete Figure ,2599,Pre-Owned,425,False,
LEGO Icons: Optimus Prime (10302) 1508 Pcs,14599,Brand New,0,True,
LEGO 21336 The Office Building **Sealed And New**,17399,Brand New,0,False,47
New ListingNEW Lego Mickey And Friends Castle Defenders (10780) 215 Pieces - Free Ship,3788,Brand New,0,False,
New ListingLEGO Star Wars: Endor Battle Pack (9489) - 100% Complete,1500,Pre-Owned,590,False,
LEGO® Star Wars™ Obi-Wan Kenobi's™ Jedi Starfighter™ 75333 [New Toy] Brick,3373,Brand New,0,True,
NEW LEGO Marvel I am Groot 76217 Building Kit (476 Pieces) - Free Ship,3900,Brand New,0,False,
LEGO Speed Champions Toyota GR Supra 76901 Toy Car Building Toy 🎁Kids Gift,1799,Brand New,0,False,90
New ListingLego Star wars FIRST ORDER STORMTROOPER Buildable Figures (75114) BRAND NEW,99,Brand New,820,False,
NEW ~ DISNEY LEGO 71033 - THE MUPPETS Collectible Minifigures Minifig - YOU PICK,399,Brand New,399,False,
"LEGO Santa, Mrs. Claus & Elves Minifigs Set Christmas Tree Holiday Toys Lot New",2499,Brand New,0,True,
LEGO 75895 Speed Champions 1974 Porsche 911 Turbo 3.0 Modular Scale Building Set,2974,Brand New,0,True,
LEGO 40524 Sunflowers (191 pcs) Brand New! Sealed! - SHIPS NOW!,2395,Brand New,0,False,
New Listing(2) Lego Harry Potter THE FINAL CHALLENGE #4702 New Factory Sealed Boxes,99,Brand New,1020,False,
LEGO 10277 Crocodile Locomotive Creator Expert Set - BRAND NEW SEALED!,15900,Brand New,0,False,22
LEGO Speed Champions Mercedes AMG F1 Kit 76909 - 564 Pcs NEW,2499,Brand New,1000,True,
LEGO DC Comics Super Heroes Nightwing Minifigure 30606 Polybag Night Wing NEW,975,Brand New,295,True,
New ListingLEGO CITY 30590 FARM GARDEN & SCARECROW POLYBAG NEW 2022,1300,Brand New,0,False,
LEGO 40351 Ghost NEW NISB - HALLOWEEN - Retired and Hard to Find!,2925,Brand New,0,False,
New ListingLEGO Star Wars: Technic Pit Droid (8000) With Instructions,2799,Pre-Owned,0,False,
"New ListingLEGO Creator 40518 High Speed Train, 284 pcs, New in  original box",2699,Brand New,0,False,
New ListingLego Harry Potter: Sorting Hat  #4701 New Factory Sealed Box 2001,375,Brand New,499,False,
New ListingNew LEGO Harry Potter: Hogsmeade Village Visit (76388),6899,Brand New,0,False,
LEGO® Speed Champions Aston Martin Valkyrie AMR Pro 30434 [New Toy] Brick,840,Brand New,0,True,
New ListingLEGO Star Wars: Armored Assault Tank (AAT) (75283),99,New (Other),975,False,
New ListingLEGO Creator 3 in 1 Green Cruiser 31056 - NEW FACTORY SEALED Box has damage,999,Brand New,500,False,
Lego 66708  Star Wars Galactic Adventures Pack 3 in 1 New Factory Sealed FAST 🚚,7799,Brand New,0,False,
New ListingLEGO Star Wars: Snowtrooper Battle Pack (75320),1999,Brand New,0,False,
LEGO Succulents Plant Decor 10309 (771 Pieces) - Succulent Lego Set,3999,Brand New,0,False,
LEGO Star Wars: AT-AT 18+ 75313 6785 Pcs BRAND NEW SEALED RL,68900,Brand New,0,False,
✨ Lego Classic Medium Creative Brick Box 10696 ✨ Creative building Toy 484PCs ,2499,Brand New,0,False,
LEGO - Technic Jeep Wrangler 42122,3700,Brand New,0,False,
Lego Queer Eye - The Fab 5 Loft 10291 Building Kit Kids Unisex 974 Pieces NEW,3999,Brand New,1500,True,
New ListingLEGO Star Wars Duel on Mandalore 75310 Building Kit  NIB Free Shipping,1399,Brand New,0,False,
Lego 71387 Super Mario Adventures with Luigi Starter Course 280 Pieces,4300,Brand New,0,False,53
NEW 2022 Lego Bam Exclusive Christmas Minifigures Setof3 Ms Claus Ms Gingerbread,2195,Brand New,0,False,
LEGO Marvel Thor Hammer 76209 Building Kit,8500,Brand New,0,False,
LEGO 40416 Ice Skating Rink Set Christmas Limited Edition,2598,Brand New,1125,False,
LEGO 30575 Creator Train Polybag DISCOUNT FOR QUANTITY SHIPPING,549,Brand New,400,False,
New ListingLEGO Star Wars: The Mandalorian Helmet (75328),3100,New (Other),0,False,
New ListingLEGO Star Wars - Jedi und Clone Troopers Battle Pack - 75206,2000,Pre-Owned,610,False,
NEW LEGO Marvel I am Groot 76217 Building Kit (476 Pieces) - Free Ship,3999,Brand New,0,False,19
LEGO Speed Champions 76897: 1985 Audi Sport quattro S1 Retired Set New Sealed ￼,3654,Brand New,0,True,
LEGO Dimensions Gremlins Team Pack (Brand New),2859,Brand New,0,False,
LEGO Creator Santa Claus (30478) Polybag Holiday Brand New Factory Sealed,1099,Brand New,0,True,
New ListingLEGO Star Wars Darth Vader Helmet 75304 Collectible Building Toy (834 Pieces),5888,Brand New,0,False,
Shop on eBay,2000,Brand New,,False,
