name,price,status,shipping,free_returns,items_sold
"Energy Drink Celsius Live Fit Health, Fitness, Fat Burner Kiwi Guava 12 Cans",1799,Brand New,2137,False,
"CELSIUS Fitness Energy Drink, 12 Fl Oz, Standard Variety Pack New (Pack of 12)",2399,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Wild Berry (Pack of 12)",3389,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Cola (Pack of 12)",3377,Brand New,0,False,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Grape Rush Pack of 12,2639,Brand New,299,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Orange (Pack of 12)",3200,Brand New,0,False,
CELSIUS Essential Energy Drink 12 Fl Oz Sparkling Watermelon (Pack of 12) NEW,3020,Brand New,0,False,
CELSIUS HEAT Blueberry Pomegranate Performance Energy Drink Zero Sugar 16oz New,3500,Brand New,0,False,
2 Celsius Heat Proven Performance Energy Powder Stick 14 Packs Watermelon Ice,2997,Brand New,0,False,
"Energy Drink Celsius Live Fit Health, Fitness, Fat Burner - 8 Kiwi Guava 4 Grape",1799,Brand New,2137,False,
"Energy Drink Celsius Live Fit Health, Fitness, Fat Burner Rasp. Açaí Tea￼ 12",1799,Brand New,2137,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 12)",3174,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Strawberry Guava (Pack of 24)",7799,Brand New,0,False,
"CELSIUS Essential Energy Drink, Sparkling Orange, 12 Fl Oz (Pack of 12)",3199,Brand New,0,False,
Shop on eBay,2000,Brand New,,False,
"CELSIUS Essential Energy Drink, Sparkling Orange, 12 Fl Oz (Pack of 12)",3199,Brand New,0,False,
"CELSIUS Essential Energy Drink Sparkling Classic Pop Pack Edition, 12 Fl Oz (Pac",3999,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Tropical Vibe (Pack of 24)",9199,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Wild Berry (Pack of 4)",2899,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Pack of 12)",3174,Brand New,0,True,
TWO Celsius Heat Proven Performance Energy Powder Stick 14 Pack Strawberry Mango,2999,Brand New,0,False,
CELSIUS Sparkling Cola Burn Fats Fitness Energy Drink Zero Sugar (12oz)12 Pack,4999,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Orange (Pack of 4)",2499,Brand New,0,False,
Celsius Energy Drink (15 COUNT): ORANGE KIWI GUAVA WILD BERRY: BEST DEAL ,3600,Brand New,1260,False,
"CELSIUS Essential Energy Drink, 12 Fl Oz, Official Variety Pack (Pack of 12) ",4041,Brand New,0,False,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Kiwi Guava 12 Fl Oz (Pack of ",2199,Brand New,0,False,
Celsius On-the-Go Performance Energy Drink Powder - 3.6oz (14 Pack),1799,Brand New,399,False,
"CELSIUS Essential Energy Drink, Sparkling Strawberry Guava 12 Fl Oz (Pack of 12)",3764,Brand New,0,True,
CELSIUS Heat Zero Sugar Fitness Energy Drink - 12-Pack,3459,Brand New,0,True,
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Wild Berry (Pack of 24)",8599,Brand New,0,False,
"CELSIUS Essential Energy Drink , Sparkling Grape Rush , 12 Fl Oz (Pack of 24)",6199,Brand New,0,False,
CELSIUS Essential Energy Drink 12 Fl Oz 12 Fl Oz (Pack of 12) Sparkling Orange,2973,Brand New,0,True,
